gene,mean_healthy,mean_disease,log2FC,pvalue,cohens_d,FDR
ENSG00000186868,0.7655672344871576,0.795698905340431,0.030131670853273396,0.7703206313015692,-0.052223820667479985,0.9998566354027545
ENSG00000120071,5.604355981057019,5.609697155560947,0.0053411745039282366,0.9658991047827571,-0.0076245113523721935,0.9998566354027545
ENSG00000228696,5.740173648903413,5.6959512394164955,-0.04422240948691769,0.7718074329060207,0.05177025661412542,0.9998566354027545
ENSG00000176681,2.935621039590972,2.989339449254055,0.053718409663082944,0.597268061258049,-0.09420770537809033,0.9998566354027545
ENSG00000260075,4.5612120191564065,4.393614308023573,-0.16759771113283328,0.4675476911115217,0.1293463064934669,0.9998566354027545
ENSG00000238083,5.1696822358544035,5.284781129390721,0.11509889353631753,0.3931831555745111,-0.15210341123457807,0.9998566354027545
ENSG00000185829,5.58313982454524,5.592032335673898,0.008892511128657965,0.956010222358551,-0.00983817181951641,0.9998566354027545
ENSG00000073969,5.991899439656116,5.937073261836473,-0.05482617781964283,0.6167500996741231,0.08904032708193373,0.9998566354027545
ENSG00000108433,5.728860689335612,5.729326838525554,0.00046614918994247745,0.9974996910535976,-0.0005576112630486493,0.9998566354027545
ENSG00000004897,6.051343245116421,6.011415513007158,-0.03992773210926259,0.6489946060269434,0.08097458539270347,0.9998566354027545
ENSG00000198336,0.4416616084918701,0.4864500688856948,0.044788460393824725,0.7820472825399323,-0.04923030402915823,0.9998566354027545
ENSG00000259207,0.9884935341600449,0.7727593895152041,-0.21573414464484086,0.4288756361767153,0.14093436289516273,0.9998566354027545
ENSG00000178852,2.53483258445958,2.8144542342316434,0.2796216497720634,0.1735399596548167,-0.24376300162661158,0.9998566354027545
ENSG00000141279,6.49384992573169,6.3494243554125465,-0.14442557031914394,0.14342372414328475,0.26138239590661827,0.9998566354027545
ENSG00000108424,6.42685817731569,6.297826232872334,-0.12903194444335675,0.23373283045227217,0.21453722663694547,0.9998566354027545
ENSG00000198933,0.8670541079636205,0.960566414785833,0.09351230682221257,0.5558996683284234,-0.10504807162737674,0.9998566354027545
