model,cv_auc_mean,cv_auc_std,val_accuracy,val_auc,val_f1
Gradient_Boosting,0.8719135802469136,0.08725347399547966,0.7894736842105263,0.9333333333333332,0.7883040935672515
Logistic_L2_Strong,0.8916666666666666,0.06758061227612931,0.8421052631578947,0.888888888888889,0.8421052631578947
Random_Forest,0.7268518518518519,0.10933944187603921,0.7368421052631579,0.7555555555555555,0.7368421052631579
SVM_RBF,0.6287037037037038,0.17175475297184487,0.5789473684210527,0.37777777777777777,0.5717703349282296
