gene_id,mean_healthy,mean_disease,log2fc,pvalue,fdr,significant
ENSG00000137959,7.41288905584951,5.283483211204157,-0.4884681341805863,4.1699460231576786e-10,5.94634302902285e-07,False
ENSG00000134184,4.281718215002658,2.5050967118290846,-0.7730846668027144,1.005785462667826e-07,7.1712503488216e-05,True
ENSG00000158773,6.192140277010905,5.484720404064075,-0.17499003117551318,1.6586259911304434e-07,7.884002211173375e-05,False
ENSG00000137965,7.182412514175471,5.71969718781018,-0.32847838542314395,4.934895924523158e-07,0.00017592903970925058,False
ENSG00000162627,0.9581271475123367,0.21419977354194228,-2.156045520300864,1.6846725549448738e-06,0.000480468612670278,True
ENSG00000160710,6.95324586987773,6.419922095198187,-0.1151135803279977,5.922868491178983e-06,0.0014076684114035383,False
ENSG00000158747,0.5664824612345021,0.17014652504465305,-1.7293438045756255,6.887493291448357e-05,0.014030807762293368,True
ENSG00000126709,5.684070088195094,4.715638983842221,-0.2694189556395494,0.00010820270127700171,0.019287131502625555,False
ENSG00000168765,3.790215102439085,4.601934785567819,0.2798936894657339,0.0001573359585697761,0.024929008546722305,False
ENSG00000187608,4.89077733327196,4.149579031909526,-0.237046120396982,0.0003372793047588424,0.04809602885861093,False
ENSG00000187010,2.4462036005640178,3.0464250377952866,0.3164565984476094,0.00039911221716102714,0.051739456515602245,False
ENSG00000188672,2.006558609591819,1.3169009376402514,-0.6072001753700214,0.0004399912337769341,0.05228562494715901,False
ENSG00000213516,3.3852258540911433,3.000603822633566,-0.17394463086271833,0.00047777547043783056,0.05240829391110357,False
ENSG00000143469,0.6722589576861591,0.9003327248182521,0.420898251922472,0.0013588858482872584,0.13476222382012315,False
ENSG00000276747,0.3630977086349879,0.08877384820519398,-2.0199585181394135,0.0014175549490195282,0.13476222382012315,False
ENSG00000137947,5.971350705498268,5.720202224864018,-0.06198054561085495,0.003467164039977971,0.3090109950630367,False
ENSG00000117751,4.53219508073678,4.267065072974373,-0.08694607489685763,0.004662644071991301,0.39111355568585854,False
ENSG00000117362,6.466691862335699,6.193985309252634,-0.062150085531900476,0.00512848326577076,0.40628984094383913,False
ENSG00000183615,0.23496339039441322,0.4568230832498433,0.9562271612994099,0.005426419477182425,0.4069156240237114,False
