epoch,train_loss,val_loss,train_auc,val_auc,learning_rate
1,16.22019823392232,15.709982872009277,0.5338326446280992,0.6944444444444445,0.001
2,10.971118609110514,20.14846706390381,0.7246900826446281,0.5222222222222223,0.001
3,5.200724395612876,23.822152137756348,0.8279958677685951,0.6944444444444444,0.001
4,3.5254697451988855,9.880898714065552,0.9003099173553719,0.7111111111111111,0.001
5,5.129830963443965,10.52880326929153,0.8631198347107438,0.7055555555555555,0.001
6,9.49097121755282,11.014166228473186,0.7794421487603306,0.65,0.001
7,10.167128791411718,25.88962745666504,0.8341942148760331,0.5833333333333334,0.001
8,5.823789572964112,8.673058271408081,0.8522727272727273,0.6555555555555556,0.001
9,3.162513707143565,5.25457888841629,0.9013429752066114,0.7777777777777778,0.001
10,5.865358550649641,7.400151252746582,0.9271694214876034,0.75,0.001
11,1.7637091510575071,33.89101415872574,0.9351756198347108,0.7555555555555555,0.001
12,5.576336408451122,1.9012799859046936,0.9431818181818181,0.8555555555555556,0.001
13,2.3295664032921195,5.932943820953369,0.9294938016528926,0.7555555555555555,0.001
14,2.969593365987142,6.280444383621216,0.946539256198347,0.7222222222222222,0.001
15,3.1523612129191556,22.431893825531006,0.9488636363636364,0.6222222222222222,0.001
16,1.9047960973290765,19.27243173122406,0.9563533057851239,0.65,0.001
17,0.8184251198546993,19.61938726902008,0.9741735537190084,0.6833333333333333,0.001
18,1.092318835381472,3.718544125556946,0.9839876033057852,0.788888888888889,0.0005
19,0.02996998179850152,1.7937718331813812,1.0,0.8555555555555556,0.0005
20,1.0704174066583316,1.338966190814972,0.9591942148760331,0.8777777777777778,0.0005
21,1.6930030607636344,1.3370115756988525,0.9615185950413223,0.9,0.0005
22,0.08053275764298935,0.9373018741607666,0.9969008264462811,0.9222222222222223,0.0005
23,1.2044806594937538,0.8579803216271102,0.9790805785123967,0.9,0.0005
24,0.7263971977907886,0.946971631757151,0.9834710743801653,0.9,0.0005
25,0.7043511543779459,0.4259334040111469,0.9783057851239669,0.9666666666666668,0.0005
26,2.8905164456615844,0.18469485565856303,0.9473140495867769,1.0,0.0005
27,0.3496319147009193,1.9860239923000336,0.993801652892562,0.9111111111111111,0.0005
28,1.776051410697562,16.889066368341446,0.9710743801652892,0.8944444444444444,0.0005
29,0.24501193241303554,16.733663767576218,0.9950929752066117,0.8888888888888888,0.0005
30,1.629804853428027,1.5645127296447754,0.9700413223140496,0.9333333333333333,0.0005
31,0.44637762929634545,1.2044308073818684,0.9886363636363636,0.9,0.0005
32,0.28777643515057133,1.9037172686948907,0.9943181818181819,0.8555555555555555,0.00025
33,0.5364911910902622,1.9192689943301957,0.9912190082644629,0.8444444444444444,0.00025
34,3.0105614383534203,1.8433746993541718,0.9545454545454546,0.8444444444444444,0.00025
35,0.27716994770162273,1.6309146583080292,0.9927685950413223,0.888888888888889,0.00025
36,0.07173959157657311,1.5128588676452637,0.9994834710743802,0.9,0.00025
37,0.0005067823612647607,1.5873737335205078,1.0,0.9555555555555555,0.00025
38,0.5432356337619012,1.6369420289993286,0.9927685950413223,0.9555555555555555,0.000125
39,0.08559765760253506,0.9760180115699768,0.9984504132231405,0.9555555555555555,0.000125
40,1.8167167638843356,0.7093000113964081,0.9798553719008264,0.9444444444444444,0.000125
41,0.641834653599378,0.7952116674277931,0.9932851239669422,0.9444444444444445,0.000125
