feature,importance
ENSG00000137959,1.2191066402207071
ENSG00000134184,0.4686410673494172
ENSG00000137965,0.3729469012433791
ENSG00000168765,0.31411654204454736
ENSG00000187010,0.3140731228994251
ENSG00000273136,0.25182077733046104
ENSG00000185842,0.23646462347230313
ENSG00000169231,0.1603453911240109
ENSG00000142669,0.13546591280379816
ENSG00000162627,0.12142316878507646
ENSG00000271383,0.11769980752152523
ENSG00000183508,0.10959322296064153
ENSG00000142937,0.09491950138243574
ENSG00000187608,0.0908599325172583
ENSG00000162599,0.08524817894149492
ENSG00000143079,0.07007634683892734
ENSG00000064886,0.06951491288545396
ENSG00000196420,0.06787906902073851
ENSG00000198400,0.0662176934247597
ENSG00000117450,0.06218773247207732
ENSG00000130764,0.058703675307830695
ENSG00000143416,0.05763560565447608
ENSG00000174514,0.053754515563367966
ENSG00000116157,0.05223585459824408
ENSG00000176092,0.05032666431712235
ENSG00000169962,0.049928345352461746
ENSG00000116133,0.04696174614855213
ENSG00000159388,0.046089765390446576
ENSG00000137941,0.04357234154844298
ENSG00000142675,0.04348563637559107
ENSG00000162946,0.042631205370846185
ENSG00000159363,0.042551015812030434
ENSG00000077585,0.040418201724560884
ENSG00000173080,0.03895908349382387
ENSG00000203943,0.03862224104537375
ENSG00000116704,0.03839103005875376
ENSG00000117262,0.037773783224099314
ENSG00000158869,0.037115870669453106
ENSG00000215910,0.037060012098625444
ENSG00000142583,0.03224843555692103
ENSG00000097046,0.030037620621309314
ENSG00000116984,0.02681826070992548
ENSG00000243749,0.026646269287249662
ENSG00000186205,0.026309157473301693
ENSG00000126709,0.02583262472641973
ENSG00000117143,0.025150902525474438
ENSG00000117448,0.024287675194059395
ENSG00000050628,0.023491965009512727
ENSG00000142632,0.023431428678406065
ENSG00000086015,0.022409387066552315
ENSG00000136628,0.021031245934402795
ENSG00000158715,0.020859908330939286
ENSG00000143297,0.020198457139085534
ENSG00000197147,0.02018118497664198
ENSG00000143457,0.01901105133084538
ENSG00000065600,0.01866232783036954
ENSG00000001461,0.018512915827795275
ENSG00000142606,0.01805549971250492
ENSG00000170128,0.017419537535336548
ENSG00000149527,0.01713329034408909
ENSG00000130766,0.016969753059677236
ENSG00000143507,0.01661831381134094
ENSG00000175707,0.01659907247116985
ENSG00000143801,0.01654758839827255
ENSG00000143228,0.01653221676152685
ENSG00000116396,0.016182285507884378
ENSG00000078808,0.015684518283970043
ENSG00000143498,0.015439830924947193
ENSG00000020129,0.014957246316081686
ENSG00000162639,0.014900182390069506
ENSG00000133069,0.014647995520310616
ENSG00000142856,0.01450820605662998
ENSG00000198892,0.014477433729969283
